"","asv_code","kingdom","supergroup","division","class","order","family","genus","species","casv_code","PR2_matches","biogeo","taxon_level","trophic_mode"
"1","ed4ae22e6f","Eukaryota","Hacrobia","Haptophyta","Prymnesiophyceae","Phaeocystales","Phaeocystaceae","Phaeocystis","Phaeocystis_pouchetii","77319f9e18","  0","Polar-Temperate","species","photosynthetic"
"2","ec4282114f","Eukaryota","Archaeplastida","Chlorophyta","Mamiellophyceae","Mamiellales","Mamiellaceae","Micromonas","Micromonas_polaris","3023c9b233"," 43","Polar-Temperate","species","photosynthetic"
"3","2044dfe072","Eukaryota","Stramenopiles","Ochrophyta","Bacillariophyta","Bacillariophyta_X","Raphid-pennate","Fragilariopsis","Fragilariopsis_cylindrus","d246da9ef2"," 38","Polar-Temperate","species","photosynthetic"
"4","c699cb1809","Eukaryota","Hacrobia","Cryptophyta","Cryptophyceae","Cryptomonadales","Cryptomonadales_X","Baffinella","Baffinella_frigidus","3c907bbfd2"," 12","Polar-Temperate","order","photosynthetic"
"5","8cd9e7d895","Eukaryota","Alveolata","Dinoflagellata","Dinophyceae","Dinophyceae_X","Dinophyceae_XX","Dinophyceae_XXX","Dinophyceae_XXX_sp.","1676556b01","  0","Cosmopolitan","class","dinoflagellata"
"6","b7ab8df4dc","Eukaryota","Stramenopiles","Ochrophyta","Bacillariophyta","Bacillariophyta_X","Raphid-pennate","Pseudo-nitzschia","Pseudo-nitzschia_seriata","28e79c69f7"," 27","Polar-Temperate","genus","photosynthetic"
"7","b2e8927686","Eukaryota","Archaeplastida","Chlorophyta","Mamiellophyceae","Mamiellales","Bathycoccaceae","Bathycoccus","Bathycoccus_prasinos","4580ad6202"," 16","Temperate-Tropical","class","mixotrophic"
"8","b90e070e4e","Eukaryota","Stramenopiles","Ochrophyta","Bacillariophyta","Bacillariophyta_X","Polar-centric-Mediophyceae","Chaetoceros","Chaetoceros_gelidus","3678d85483"," 10","Polar-Temperate","genus","photosynthetic"
"9","887e03c0a4","Eukaryota","Stramenopiles","Ochrophyta","Bacillariophyta","Bacillariophyta_X","Raphid-pennate","Nitzschia","Nitzschia_sp.","e69dcf7956","  2","Polar","genus","photosynthetic"
"10","e9fa6c9f9e","Eukaryota","Stramenopiles","Ochrophyta","Bacillariophyta","Bacillariophyta_X","Polar-centric-Mediophyceae","Skeletonema","Skeletonema_sp.","534bdf9655","  1","Polar-Temperate","genus","photosynthetic"
