"","casv_code","Arctic","N_Temperate","S_Temperate","Antarctic","Tropical","n","Arctic_pct","N_Temperate_pct","Tropical_pct","S_Temperate_pct","Antarctic_pct","Temperate_pct","Polar_pct","biogeo"
"1","000dff1174",0,0,11,0,0,11,0,0,0,1,0,1,0,"Temperate"
"2","000e2212ad",0,70,126,31,141,368,0,0.190217391304348,0.383152173913043,0.342391304347826,0.0842391304347826,0.532608695652174,0.0842391304347826,"Cosmopolitan"
"3","00181c64a7",0,77,0,0,0,77,0,1,0,0,0,1,0,"Temperate"
"4","00191d42e6",0,6,0,0,0,6,0,1,0,0,0,1,0,"Temperate"
"5","001a0c5657",0,6,11,0,11,28,0,0.214285714285714,0.392857142857143,0.392857142857143,0,0.607142857142857,0,"Temperate-Tropical"
"6","0023155309",0,11,33,0,31,75,0,0.146666666666667,0.413333333333333,0.44,0,0.586666666666667,0,"Temperate-Tropical"
"7","00297053f5",7,0,0,0,0,7,1,0,0,0,0,0,1,"Polar"
"8","003d05d596",0,0,11,6,0,17,0,0,0,0.647058823529412,0.352941176470588,0.647058823529412,0.352941176470588,"Polar-Temperate"
"9","0048e6e06a",0,0,35,38,0,73,0,0,0,0.479452054794521,0.520547945205479,0.479452054794521,0.520547945205479,"Polar-Temperate"
"10","004d763ddf",0,0,10,10,0,20,0,0,0,0.5,0.5,0.5,0.5,"Polar-Temperate"
"11","004eafab41",0,0,5,7,0,12,0,0,0,0.416666666666667,0.583333333333333,0.416666666666667,0.583333333333333,"Polar-Temperate"
"12","004fdf1764",0,9,8,0,5,22,0,0.409090909090909,0.227272727272727,0.363636363636364,0,0.772727272727273,0,"Temperate-Tropical"
"13","00508e166d",0,14,0,0,0,14,0,1,0,0,0,1,0,"Temperate"
"14","00592662ad",26,76,148,0,109,359,0.0724233983286908,0.211699164345404,0.303621169916435,0.412256267409471,0,0.623955431754875,0.0724233983286908,"Cosmopolitan"
"15","005c82b65e",0,0,0,5,0,5,0,0,0,0,1,0,1,"Polar"
"16","005e1d8c1c",0,40,91,0,55,186,0,0.21505376344086,0.295698924731183,0.489247311827957,0,0.704301075268817,0,"Temperate-Tropical"
"17","005e47ddb4",0,0,7,0,0,7,0,0,0,1,0,1,0,"Temperate"
"18","005fab6ba8",0,0,0,0,6,6,0,0,1,0,0,0,0,"Tropical"
"19","005fae3c0d",0,0,16,15,0,31,0,0,0,0.516129032258065,0.483870967741935,0.516129032258065,0.483870967741935,"Polar-Temperate"
"20","00614fd147",0,0,8,0,14,22,0,0,0.636363636363636,0.363636363636364,0,0.363636363636364,0,"Temperate-Tropical"
"21","0062cb9719",13,0,0,0,0,13,1,0,0,0,0,0,1,"Polar"
"22","0062de3c14",0,5,0,0,0,5,0,1,0,0,0,1,0,"Temperate"
"23","006406c1be",12,11,0,0,0,23,0.521739130434783,0.478260869565217,0,0,0,0.478260869565217,0.521739130434783,"Polar-Temperate"
"24","0079a757d7",13,0,63,0,0,76,0.171052631578947,0,0,0.828947368421053,0,0.828947368421053,0.171052631578947,"Polar-Temperate"
"25","007e408127",0,13,0,0,0,13,0,1,0,0,0,1,0,"Temperate"
"26","00868b5c46",15,0,0,0,0,15,1,0,0,0,0,0,1,"Polar"
"27","008a132273",5,63,95,0,144,307,0.0162866449511401,0.205211726384365,0.469055374592834,0.309446254071661,0,0.514657980456026,0.0162866449511401,"Temperate-Tropical"
"28","0093f8b418",0,9,7,0,14,30,0,0.3,0.466666666666667,0.233333333333333,0,0.533333333333333,0,"Temperate-Tropical"
"29","0095df6450",0,0,10,11,0,21,0,0,0,0.476190476190476,0.523809523809524,0.476190476190476,0.523809523809524,"Polar-Temperate"
"30","009f0867c5",0,0,7,0,17,24,0,0,0.708333333333333,0.291666666666667,0,0.291666666666667,0,"Temperate-Tropical"
"31","009f5f20ac",0,0,36,48,0,84,0,0,0,0.428571428571429,0.571428571428571,0.428571428571429,0.571428571428571,"Polar-Temperate"
"32","00a0bc3ebc",0,25,7,0,43,75,0,0.333333333333333,0.573333333333333,0.0933333333333333,0,0.426666666666667,0,"Temperate-Tropical"
"33","00a0f15c7f",0,9,0,0,0,9,0,1,0,0,0,1,0,"Temperate"
"34","00a47ea886",25,0,0,0,0,25,1,0,0,0,0,0,1,"Polar"
"35","00a86fd597",0,5,12,0,15,32,0,0.15625,0.46875,0.375,0,0.53125,0,"Temperate-Tropical"
"36","00ad38cfd2",0,0,5,0,5,10,0,0,0.5,0.5,0,0.5,0,"Temperate-Tropical"
"37","00b07e36fc",0,0,0,7,0,7,0,0,0,0,1,0,1,"Polar"
"38","00b25c4d7f",17,0,0,0,0,17,1,0,0,0,0,0,1,"Polar"
"39","00b4ab49ca",0,0,38,29,0,67,0,0,0,0.567164179104478,0.432835820895522,0.567164179104478,0.432835820895522,"Polar-Temperate"
"40","00b673614e",0,10,0,0,0,10,0,1,0,0,0,1,0,"Temperate"
"41","00b7531052",0,0,26,11,0,37,0,0,0,0.702702702702703,0.297297297297297,0.702702702702703,0.297297297297297,"Polar-Temperate"
"42","00c0e50bb3",0,0,0,0,19,19,0,0,1,0,0,0,0,"Tropical"
"43","00caebf7c8",0,0,6,0,6,12,0,0,0.5,0.5,0,0.5,0,"Temperate-Tropical"
"44","00cc98b3e7",0,5,9,0,0,14,0,0.357142857142857,0,0.642857142857143,0,1,0,"Temperate"
"45","00ccf8e1e8",16,5,0,0,0,21,0.761904761904762,0.238095238095238,0,0,0,0.238095238095238,0.761904761904762,"Polar-Temperate"
"46","00cd73e65b",0,0,8,0,22,30,0,0,0.733333333333333,0.266666666666667,0,0.266666666666667,0,"Temperate-Tropical"
"47","00cf6b9774",0,0,0,0,8,8,0,0,1,0,0,0,0,"Tropical"
"48","00d72d35e9",0,0,0,0,5,5,0,0,1,0,0,0,0,"Tropical"
"49","00d73545a1",0,7,0,0,0,7,0,1,0,0,0,1,0,"Temperate"
"50","00de7f03b8",0,0,5,11,0,16,0,0,0,0.3125,0.6875,0.3125,0.6875,"Polar-Temperate"
"51","00e72d8b65",0,0,0,0,19,19,0,0,1,0,0,0,0,"Tropical"
"52","00ea0a9aac",0,0,23,15,0,38,0,0,0,0.605263157894737,0.394736842105263,0.605263157894737,0.394736842105263,"Polar-Temperate"
"53","00f22b0774",0,10,34,0,74,118,0,0.0847457627118644,0.627118644067797,0.288135593220339,0,0.372881355932203,0,"Temperate-Tropical"
"54","00f7462b1f",0,0,7,0,0,7,0,0,0,1,0,1,0,"Temperate"
"55","00f9d08575",0,5,0,0,0,5,0,1,0,0,0,1,0,"Temperate"
"56","00fa09352f",0,19,9,0,0,28,0,0.678571428571429,0,0.321428571428571,0,1,0,"Temperate"
"57","010424b0f6",28,13,0,0,0,41,0.682926829268293,0.317073170731707,0,0,0,0.317073170731707,0.682926829268293,"Polar-Temperate"
"58","01050abc94",0,11,0,0,0,11,0,1,0,0,0,1,0,"Temperate"
"59","010cf9b89e",0,5,20,0,0,25,0,0.2,0,0.8,0,1,0,"Temperate"
"60","01123c1e28",5,81,215,30,162,493,0.0101419878296146,0.164300202839757,0.328600405679513,0.436105476673428,0.0608519269776876,0.600405679513185,0.0709939148073022,"Cosmopolitan"
"61","0114ba9624",5,0,0,0,0,5,1,0,0,0,0,0,1,"Polar"
"62","011697e2c7",0,0,21,5,0,26,0,0,0,0.807692307692308,0.192307692307692,0.807692307692308,0.192307692307692,"Polar-Temperate"
"63","011870b54c",0,0,14,7,0,21,0,0,0,0.666666666666667,0.333333333333333,0.666666666666667,0.333333333333333,"Polar-Temperate"
"64","011c079261",6,0,19,15,0,40,0.15,0,0,0.475,0.375,0.475,0.525,"Polar-Temperate"
"65","011f493009",0,0,7,19,0,26,0,0,0,0.269230769230769,0.730769230769231,0.269230769230769,0.730769230769231,"Polar-Temperate"
"66","01259b8d40",0,17,0,0,0,17,0,1,0,0,0,1,0,"Temperate"
"67","012c60e373",6,38,99,0,29,172,0.0348837209302326,0.22093023255814,0.168604651162791,0.575581395348837,0,0.796511627906977,0.0348837209302326,"Temperate-Tropical"
"68","01337bc7d1",30,74,102,8,14,228,0.131578947368421,0.324561403508772,0.0614035087719298,0.447368421052632,0.0350877192982456,0.771929824561403,0.166666666666667,"Cosmopolitan"
"69","014e6be5bc",9,0,0,0,0,9,1,0,0,0,0,0,1,"Polar"
