"","asv_code","PAH"
"1","3acc2c0eed","yes"
"2","f43fb9c0f3","yes"
"3","885a30b8b4","yes"
"4","8310e5d13a","yes"
"5","cd939edbe5","yes"
"6","4bf5b982fd","yes"
"7","ae1de76bcd","yes"
"8","7bc6b26cb1","yes"
"9","6eaa6eb04a","yes"
"10","1856fbb5b2","yes"
"11","88a97f5967","yes"
"12","decc39f4fe","yes"
"13","93bf922093","yes"
"14","9f3bb370de","yes"
"15","1999d53b1a","yes"
"16","53b092848a","yes"
"17","5577957b1e","yes"
"18","3105a2354e","yes"
"19","56908dea2d","yes"
"20","f383f9926e","yes"
"21","eb27ec13a7","yes"
"22","e5794a80dd","yes"
"23","19e229ed2e","yes"
"24","c1b3d1adda","yes"
"25","013a76b53b","yes"
"26","7c17a19c86","yes"
"27","a452b086aa","yes"
"28","456835d4bc","yes"
"29","1d57b48d02","yes"
"30","48f5bdbd97","yes"
"31","a7aee5cf0b","yes"
"32","2fc1eec18a","yes"
"33","b8baeb5b8f","yes"
"34","026941800c","yes"
"35","98293657d2","yes"
"36","e851a94f84","yes"
"37","f557bf0a57","yes"
"38","b8a6eeaadb","yes"
"39","f608ee9314","yes"
"40","864b9a2dee","yes"
"41","570d5dd44f","yes"
"42","9bd86717ce","yes"
"43","aa6833dda2","yes"
"44","580ca71171","yes"
"45","9896d54285","yes"
"46","a05693d8a0","yes"
"47","7b48783485","yes"
"48","71e42ec709","yes"
"49","8da70c7bd3","yes"
"50","307cb42920","yes"
"51","f209da300c","yes"
"52","6cd5664133","yes"
"53","ea11c51616","yes"
"54","49c3f0d463","yes"
"55","6479e2d687","yes"
"56","66874cf23c","yes"
"57","7e06ccf111","yes"
"58","9eec003615","yes"
"59","3c8d22a4d2","yes"
"60","079b729add","yes"
"61","71cd4da015","yes"
"62","bb62006541","yes"
"63","2d661e3614","yes"
"64","676d60080d","yes"
"65","2db83b27ef","yes"
"66","20044f3507","yes"
"67","b4f21ef8b4","yes"
"68","31f1705a19","yes"
"69","0abfe7618b","yes"
"70","bc3fa41ea3","yes"
"71","132d371c03","yes"
"72","4d7310bff2","yes"
"73","3b598dbcbf","yes"
"74","45d2ddbeb6","yes"
"75","2e0752c162","yes"
"76","9737f6695d","yes"
"77","7d61760695","yes"
"78","848faac3a5","yes"
"79","33de22f363","yes"
"80","fbdcf7b2f4","yes"
"81","6a701d323e","yes"
"82","d1a35b6c45","yes"
"83","872b0cd97a","yes"
"84","b3a9636c14","yes"
"85","efa72fdb8e","yes"
"86","a2e8f72075","yes"
"87","b79a4c37bb","yes"
"88","867b0ba3bc","yes"
"89","20b1595118","yes"
"90","6aae0aace4","yes"
"91","5f921c90d4","yes"
"92","48737bafd1","yes"
"93","5454898966","yes"
"94","a220d478d6","yes"
"95","f32100ae39","yes"
"96","37b492c9dd","yes"
