"","DNA.GE.IC.10","DNA.GE.IC.101","DNA.GE.IC.102","DNA.GE.IC.103","DNA.GE.IC.104","DNA.GE.IC.106","DNA.GE.IC.107","DNA.GE.IC.108","DNA.GE.IC.109","DNA.GE.IC.110","DNA.GE.IC.111","DNA.GE.IC.112","DNA.GE.IC.113","DNA.GE.IC.114","DNA.GE.IC.115","DNA.GE.IC.116","DNA.GE.IC.117","DNA.GE.IC.118","DNA.GE.IC.119","DNA.GE.IC.12","DNA.GE.IC.120","DNA.GE.IC.121","DNA.GE.IC.122","DNA.GE.IC.123","DNA.GE.IC.124","DNA.GE.IC.125","DNA.GE.IC.126","DNA.GE.IC.127","DNA.GE.IC.128","DNA.GE.IC.129","DNA.GE.IC.13","DNA.GE.IC.130","DNA.GE.IC.131","DNA.GE.IC.132","DNA.GE.IC.133","DNA.GE.IC.134","DNA.GE.IC.135","DNA.GE.IC.136","DNA.GE.IC.137","DNA.GE.IC.139","DNA.GE.IC.14","DNA.GE.IC.140","DNA.GE.IC.141","DNA.GE.IC.142","DNA.GE.IC.143","DNA.GE.IC.144","DNA.GE.IC.145","DNA.GE.IC.146","DNA.GE.IC.147","DNA.GE.IC.148","DNA.GE.IC.149","DNA.GE.IC.15","DNA.GE.IC.150","DNA.GE.IC.16","DNA.GE.IC.17","DNA.GE.IC.19","DNA.GE.IC.20","DNA.GE.IC.21","DNA.GE.IC.22","DNA.GE.IC.25","DNA.GE.IC.26","DNA.GE.IC.27","DNA.GE.IC.28","DNA.GE.IC.31","DNA.GE.IC.32","DNA.GE.IC.33","DNA.GE.IC.34","DNA.GE.IC.35","DNA.GE.IC.36","DNA.GE.IC.37","DNA.GE.IC.38","DNA.GE.IC.39","DNA.GE.IC.40","DNA.GE.IC.41","DNA.GE.IC.42","DNA.GE.IC.43","DNA.GE.IC.44","DNA.GE.IC.45","DNA.GE.IC.47","DNA.GE.IC.49","DNA.GE.IC.50","DNA.GE.IC.51","DNA.GE.IC.53","DNA.GE.IC.54","DNA.GE.IC.55","DNA.GE.IC.56","DNA.GE.IC.57","DNA.GE.IC.58","DNA.GE.IC.60","DNA.GE.IC.61","DNA.GE.IC.64","DNA.GE.IC.67","DNA.GE.IC.7","DNA.GE.IC.70","DNA.GE.IC.72","DNA.GE.IC.73","DNA.GE.IC.75","DNA.GE.IC.76","DNA.GE.IC.79","DNA.GE.IC.8","DNA.GE.IC.80","DNA.GE.IC.82","DNA.GE.IC.83","DNA.GE.IC.87","DNA.GE.IC.89","DNA.GE.IC.9","DNA.GE.IC.90","DNA.GE.IC.92","DNA.GE.IC.93","DNA.GE.IC.94","DNA.GE.IC.95","DNA.GE.IC.96","DNA.GE.IC.97","DNA.GE.IC.98","DNA.GE.IC.99","DNA.GE.IC.1","DNA.GE.IC.105","DNA.GE.IC.2","DNA.GE.IC.24","DNA.GE.IC.29","DNA.GE.IC.3","DNA.GE.IC.30","DNA.GE.IC.48","DNA.GE.IC.5","DNA.GE.IC.59","DNA.GE.IC.65","DNA.GE.IC.78","DNA.GE.IC.81","DNA.GE.IC.86","DNA.GE.IC.11","DNA.GE.IC.18","DNA.GE.IC.6","DNA.GE.IC.63","DNA.GE.IC.71","DNA.GE.IC.77","DNA.GE.IC.85","DNA.GE.IC.23"
"ed4ae22e6f",198,175,163,179,218,8,189,281,334,326,0,14,244,428,456,314,8,10,369,25,804,584,568,9,42,378,1845,2387,1091,0,282,37,3861,5047,5138,4453,34,222,4328,6301,229,4387,75,466,5111,5989,5463,4123,3007,4811,5912,253,6125,204,6,164,373,583,502,119,379,448,723,1587,1592,1557,2398,0,34,2799,3286,2243,898,8,161,4238,4563,4649,522,1357,1009,14,263,646,406,1436,178,813,673,21,17,187,266,10,3,28,19,35,7,189,9,82,17,45,11,116,23,179,51,54,0,22,514,313,481,107,9,113,11,14,64,12,329,11,256,12,3,13,16,0,0,0,0,0,0,0,0
"ec4282114f",23,115,85,85,54,60,98,103,150,124,15,158,183,303,298,194,39,357,255,23,700,676,417,169,967,642,2762,3058,764,34,44,264,7184,6164,6106,5037,254,1246,12100,9924,31,5687,839,2568,4134,4577,10379,3975,8380,6074,3174,27,4578,23,23,49,28,130,128,23,89,63,107,366,250,219,500,15,32,1582,1858,609,162,8,104,487,206,1375,85,52,41,15,13,11,18,11,27,110,12,45,14,220,23,4,19,26,20,51,4,27,5,77,15,89,26,20,49,115,23,13,4,15,58,29,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2044dfe072",812,0,15,10,20,24,0,28,16,0,0,0,14,28,48,18,11,30,11,85,37,51,47,11,15,0,18,21,11,0,652,15,13,11,10,38,63,75,0,0,595,17,35,10,0,0,0,101,0,0,0,784,20,580,206,926,602,905,979,500,1444,1548,1487,1930,2033,2324,1920,458,240,1148,650,1084,1666,111,113,244,233,441,53,247,226,9,315,328,214,174,79,158,103,560,1051,98,463,271,14,201,52,153,201,798,301,187,46,116,0,616,17,210,0,0,59,29,210,662,397,475,46,1022,55,60,945,118,87,935,184,308,164,23,146,116,272,500,559,26,69,160,64
"c699cb1809",37,112,61,77,89,1003,65,139,85,48,503,229,134,182,203,69,520,472,233,81,221,200,154,261,142,930,632,423,103,110,143,58,420,580,388,326,98,106,257,330,84,173,195,258,251,324,343,274,182,500,922,124,378,85,34,144,186,173,132,501,281,334,117,515,553,425,288,0,161,494,574,571,188,84,252,183,258,222,137,181,53,0,0,0,0,4,0,61,0,0,0,29,84,3,16,0,0,0,0,77,0,0,0,0,0,64,9,17,11,0,0,0,8,6,26,41,849,37,0,0,29,0,0,105,0,16,0,0,0,82,43,179,0,0,0,0,0
"b7ab8df4dc",87,0,0,0,0,0,0,0,0,10,0,0,15,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,252,0,0,0,0,0,0,35,0,0,69,17,0,36,546,413,35,1138,162,154,159,233,33,68,0,277,97,132,82,133,162,139,165,370,193,390,260,0,21,3770,4031,4249,4380,0,159,3589,2905,3192,10844,7400,4855,18,1021,945,188,1250,6321,10359,194,85,1732,185,48,0,14,0,151,63,0,57,76,131,29,51,0,62,0,0,0,0,0,0,1889,6600,5418,35,38,63,0,0,148,0,6488,168,593,0,0,28,75,18,34,41,212,11,30,28,0
"b90e070e4e",251,9,7,4,4,5,8,14,14,17,3,8,8,17,17,7,0,13,0,23,11,0,11,0,8,5,3,4,3,0,148,10,11,0,12,0,3,53,37,13,125,0,8,49,896,1464,1159,83,293,336,1250,165,280,270,0,31,91,158,169,12,55,86,372,46,30,84,135,0,15,17,26,9,238,0,0,298,529,268,171,1307,4297,8,246,309,396,414,563,591,4598,17,30,149,129,52,34,54,39,114,29,204,26,241,14,173,0,131,42,204,137,123,0,67,45,52,62,92,9,127,16,0,193,9,707,6,911,23,41,0,70,0,5,0,67,7,0,22,0
"887e03c0a4",156,0,14,0,24,0,15,47,45,34,41,0,0,59,41,31,0,0,63,102,32,41,37,0,0,13,28,32,29,0,202,18,38,27,31,45,0,47,0,10,168,10,0,0,13,7,0,33,0,0,0,209,0,150,76,281,220,261,0,158,367,358,245,440,456,549,447,204,157,55,43,79,343,129,96,22,32,26,0,40,40,110,80,106,115,38,56,9,44,0,127,91,140,32,215,172,0,42,167,111,103,0,0,53,490,153,4394,82,57,82,134,705,62,123,88,54,102,102,73,224,109,299,60,236,143,148,139,185,152,243,139,104,53,466,260,275,100
"e9fa6c9f9e",9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,4,0,0,15,0,0,0,0,0,3,17,0,0,0,6,0,8,0,9,14,20,0,11,46,39,43,73,70,107,81,0,0,79,55,116,88,0,0,34,28,67,24,47,27,0,10,8,0,0,5,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,9,6,0,0,0,6,7,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"4ce1f6f873",0,0,0,0,0,5,0,8,0,2,0,6,3,0,0,0,0,17,143,20,13,11,0,6,18,208,35,14,3,2,17,9,13,11,6,0,18,15,4,3,17,0,14,7,69,66,23,49,37,32,33,11,5,7,6,541,246,152,33,2090,1320,682,64,175,171,120,64,14,193,139,92,127,143,12,60,180,211,165,261,105,94,0,476,177,100,82,740,182,68,0,16,45,28,16,10,17,9,42,199,11,56,35,21,60,6,9,52,135,106,72,22,116,201,184,181,0,0,0,141,13,0,28,250,9,38,16,17,8,165,0,76,25,34,3,7,594,21
"a8ebb7c1b9",32,14,13,37,26,12,11,23,34,17,125,0,25,41,17,8,62,0,89,0,34,18,0,75,0,151,116,26,7,67,99,0,76,85,37,24,220,14,68,15,47,0,310,48,129,118,32,56,32,0,0,28,0,18,50,135,89,29,0,367,176,206,23,154,152,217,81,150,149,161,65,37,35,1052,487,516,527,326,276,105,69,34,440,145,121,150,104,157,67,0,0,0,64,3,0,0,0,0,0,32,0,0,0,18,0,37,0,0,0,0,35,0,0,0,4,0,135,25,0,12,13,0,49,81,76,0,0,0,13,68,0,45,0,0,0,10,73
