"","kingdom","supergroup","division","class","order","family","genus","species","casv_code","PR2_matches","biogeo","taxon_level","trophic_mode"
"ed4ae22e6f","Eukaryota","Hacrobia","Haptophyta","Prymnesiophyceae","Phaeocystales","Phaeocystaceae","Phaeocystis","Phaeocystis_pouchetii","77319f9e18","  0","Polar-Temperate","species","photosynthetic"
"ec4282114f","Eukaryota","Archaeplastida","Chlorophyta","Mamiellophyceae","Mamiellales","Mamiellaceae","Micromonas","Micromonas_polaris","3023c9b233"," 43","Polar-Temperate","species","photosynthetic"
"2044dfe072","Eukaryota","Stramenopiles","Ochrophyta","Bacillariophyta","Bacillariophyta_X","Raphid-pennate","Fragilariopsis","Fragilariopsis_cylindrus","d246da9ef2"," 38","Polar-Temperate","species","photosynthetic"
"c699cb1809","Eukaryota","Hacrobia","Cryptophyta","Cryptophyceae","Cryptomonadales","Cryptomonadales_X","Baffinella","Baffinella_frigidus","3c907bbfd2"," 12","Polar-Temperate","order","photosynthetic"
"b7ab8df4dc","Eukaryota","Stramenopiles","Ochrophyta","Bacillariophyta","Bacillariophyta_X","Raphid-pennate","Pseudo-nitzschia","Pseudo-nitzschia_seriata","28e79c69f7"," 27","Polar-Temperate","genus","photosynthetic"
"b90e070e4e","Eukaryota","Stramenopiles","Ochrophyta","Bacillariophyta","Bacillariophyta_X","Polar-centric-Mediophyceae","Chaetoceros","Chaetoceros_gelidus","3678d85483"," 10","Polar-Temperate","genus","photosynthetic"
"887e03c0a4","Eukaryota","Stramenopiles","Ochrophyta","Bacillariophyta","Bacillariophyta_X","Raphid-pennate","Nitzschia","Nitzschia_sp.","e69dcf7956","  2","Polar","genus","photosynthetic"
"e9fa6c9f9e","Eukaryota","Stramenopiles","Ochrophyta","Bacillariophyta","Bacillariophyta_X","Polar-centric-Mediophyceae","Skeletonema","Skeletonema_sp.","534bdf9655","  1","Polar-Temperate","genus","photosynthetic"
"4ce1f6f873","Eukaryota","Stramenopiles","Ochrophyta","Bacillariophyta","Bacillariophyta_X","Polar-centric-Mediophyceae","Chaetoceros","Chaetoceros_neogracilis","2c90da1fc8"," 43","Polar-Temperate","species","photosynthetic"
"a8ebb7c1b9","Eukaryota","Stramenopiles","Ochrophyta","Pelagophyceae","Pelagomonadales","Pelagomonadales_clade_A","Pelagomonadales_clade_A_X","Pelagomonadales_clade_A_X_sp.","1da8545dd2","  0","Polar","division","photosynthetic"
"3fb11d7983","Eukaryota","Stramenopiles","Ochrophyta","Bacillariophyta","Bacillariophyta_X","Polar-centric-Mediophyceae","Thalassiosira","Thalassiosira_sp.","3fb11d7983","  8","Unallocated","genus","photosynthetic"
"3f64566871","Eukaryota","Hacrobia","Cryptophyta","Cryptophyceae","Cryptomonadales","Cryptomonadales_X","Teleaulax","Teleaulax_gracilis","be7a2477fb","  2","Polar-Temperate","order","photosynthetic"
"292382368e","Eukaryota","Stramenopiles","Ochrophyta","Bacillariophyta","Bacillariophyta_X","Raphid-pennate","Raphid-pennate_X","Raphid-pennate_X_sp.","c08015cc71","  0","Polar","class","photosynthetic"
"38339c0b55","Eukaryota","Stramenopiles","Ochrophyta","Pelagophyceae","Sarcinochrysidales","Sarcinochrysidaceae","Ankylochrysis","Ankylochrysis_sp1.","d6b39ef420","  3","Polar","division","photosynthetic"
"d3d233a12c","Eukaryota","Stramenopiles","Ochrophyta","Bacillariophyta","Bacillariophyta_X","Polar-centric-Mediophyceae","Porosira","Porosira_glacialis","2c1f3b53eb"," 13","Polar-Temperate","species","photosynthetic"
"499a2bf8d0","Eukaryota","Hacrobia","Cryptophyta","Cryptophyceae","Cryptomonadales","Cryptomonadales_X","Plagioselmis","Plagioselmis_prolonga","2a0e0fc206","  6","Cosmopolitan","order","photosynthetic"
"649cd59110","Eukaryota","Hacrobia","Cryptophyta","Cryptophyceae","Cryptomonadales","Hemiselmidaceae","Hemiselmis","Hemiselmis_sp.","649cd59110","  0","Unallocated","order","photosynthetic"
"58a35e6970","Eukaryota","Stramenopiles","Ochrophyta","Pelagophyceae","Pelagomonadales","Pelagomonadales_clade_A","Pelagomonadales_clade_A1","Pelagomonadales_clade_A1_sp.","603d7fa59b","  1","Polar","division","photosynthetic"
"6224d893e7","Eukaryota","Hacrobia","Cryptophyta","Cryptophyceae","Cryptomonadales","Cryptomonadales_X","Cryptomonadales_XX","Cryptomonadales_XX_sp.","f789558332","  0","Unallocated","order","photosynthetic"
"f8124a0c4a","Eukaryota","Hacrobia","Cryptophyta","Cryptophyceae","Cryptomonadales","Cryptomonadales_X","Baffinella","Baffinella_frigidus","1e1c3721cb","  1","Polar","order","photosynthetic"
"ed878e7edf","Eukaryota","Stramenopiles","Ochrophyta","Bacillariophyta","Bacillariophyta_X","Raphid-pennate","Bacillaria","Bacillaria_paxillifer","437eb83197","  0","Polar","class","photosynthetic"
"4369ada91d","Eukaryota","Stramenopiles","Ochrophyta","Bacillariophyta","Bacillariophyta_X","Araphid-pennate","Synedra","Synedra_hyperborea","c16837fb1e"," 16","Polar-Temperate","class","photosynthetic"
"6aa05b1319","Eukaryota","Stramenopiles","Ochrophyta","Bacillariophyta","Bacillariophyta_X","Polar-centric-Mediophyceae","Attheya","Attheya_septentrionalis","19576a3b7e"," 23","Polar","species","photosynthetic"
"816ab18948","Eukaryota","Stramenopiles","Ochrophyta","Bacillariophyta","Bacillariophyta_X","Raphid-pennate","Pinnularia","Pinnularia_sp.","816ab18948","  0","Unallocated","class","photosynthetic"
"019e1c9f33","Eukaryota","Stramenopiles","Ochrophyta","Bacillariophyta","Bacillariophyta_X","Raphid-pennate","Stauroneis","Stauroneis_kriegeri","e23bf8e060","  2","Polar","class","photosynthetic"
"0d0d82933b","Eukaryota","Stramenopiles","Ochrophyta","Bacillariophyta","Bacillariophyta_X","Raphid-pennate","Naviculaceae_X","Naviculaceae_X_sp.","2a638db8a7","  5","Polar","class","photosynthetic"
"140587eb59","Eukaryota","Stramenopiles","Ochrophyta","Bacillariophyta","Bacillariophyta_X","Raphid-pennate","Bacillaria","Bacillaria_sp.","140587eb59","  1","Unallocated","class","photosynthetic"
"ffc6b4c795","Eukaryota","Stramenopiles","Ochrophyta","Bacillariophyta","Bacillariophyta_X","Raphid-pennate","Haslea","Haslea_crucigera","ffc6b4c795","  0","Unallocated","class","photosynthetic"
"947233f3fc","Eukaryota","Stramenopiles","Ochrophyta","Bacillariophyta","Bacillariophyta_X","Raphid-pennate","Cylindrotheca","Cylindrotheca_sp.","8882d338f3","  1","Polar","class","photosynthetic"
"f0dff4945e","Eukaryota","Hacrobia","Cryptophyta","Cryptophyceae","Cryptomonadales","Hemiselmidaceae","Chroomonas","Chroomonas_sp.","f0dff4945e","  0","Unallocated","order","photosynthetic"
"19f0f4aa3d","Eukaryota","Stramenopiles","Ochrophyta","Bacillariophyta","Bacillariophyta_X","Raphid-pennate","Cylindrotheca","Cylindrotheca_sp.","08a24b3cda","  1","Polar","class","photosynthetic"
"4683bf1f46","Eukaryota","Hacrobia","Cryptophyta","Cryptophyceae","Pyrenomonadales","Pyrenomonadaceae","Rhodomonas","Rhodomonas_sp.","f67545701c"," 14","Polar-Temperate","order","photosynthetic"
"556a4de724","Eukaryota","Stramenopiles","Ochrophyta","Pelagophyceae","Sarcinochrysidales","Sarcinochrysidaceae","Ankylochrysis","Ankylochrysis_sp.","556a4de724","  4","Unallocated","division","photosynthetic"
"1abc4314c6","Eukaryota","Archaeplastida","Chlorophyta","Chlorophyceae","Chlamydomonadales","Chlamydomonadales_X","Chlamydomonas","Chlamydomonas_raudensis","9b86cf291f","  0","Polar","order","photosynthetic"
"b50a0c4799","Eukaryota","Stramenopiles","Ochrophyta","Bacillariophyta","Bacillariophyta_X","Polar-centric-Mediophyceae","Thalassiosira","Thalassiosira_hispida","0e9703ec1d","  3","Polar","genus","photosynthetic"
"023ccf8f55","Eukaryota","Stramenopiles","Ochrophyta","Bolidophyceae","Parmales","Parmales_env_1","Parmales_env_1_X","Parmales_env_1_X_sp.","df88fad537","  0","Polar","class","photosynthetic"
"226ef7352e","Eukaryota","Stramenopiles","Ochrophyta","Bacillariophyta","Bacillariophyta_X","Raphid-pennate","Bacillaria","Bacillaria_paxillifer","226ef7352e","  0","Unallocated","class","photosynthetic"
"493f0c807c","Eukaryota","Stramenopiles","Ochrophyta","Bacillariophyta","Bacillariophyta_X","Raphid-pennate","Nitzschia","Nitzschia_sp.","277b604b28","  0","Polar","genus","photosynthetic"
